District,Candidate,Party,Votes
Rajaji Nagar,R.HARISHARADHYA,Badavara Shramikara Raitara Congress Party,457
Rajaji Nagar,S.SHOBHA,Bharatiya Janta Dal,385
Rajaji Nagar,SOUNDARYAG,Bahujan Samaj Party,313
Rajaji Nagar,SHOBHA,Independent,309
Rajaji Nagar,KESHAV S.HIMALAI,Independent,291
Rajaji Nagar,R.B SHIVAKUMAR,Independent,259
Rajaji Nagar,VISHWANATH.G.P,Nationalist Congress Party,253
Rajaji Nagar,DHANANJAYA.H.H,Independent,187
Rajaji Nagar,PRASHANTH.S.M,Independent,185
Rajaji Nagar,RAKSHITH.M,Independent,183
Rajaji Nagar,PRATHIBHA KUMARI.B.S,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),182
Rajaji Nagar,NAGARAJA.H.N,Independent,140
Rajaji Nagar,S.ANITHA (S.ANITHA GOWDA),Bharatiya Praja Paksha,116
Rajaji Nagar,SHARANA GOUD.B,Pyramid Party of India,105
Rajaji Nagar,K.V. SRINIVASAPPA,Jai Vijaya Bharathi Party,96
Rajaji Nagar,VIJAY KUMAR M K,Independent,85
Rajaji Nagar,K.T NAGABHUSHAN,Janata Dal  (United),76
Rajaji Nagar,LAKSHMANA SHETRU.H,National People's Party,70
Rajaji Nagar,P.K PATIL,Independent,52
Rajarajeshwarinagar,MUNIRATHNA,Indian National Congress,71064
Rajarajeshwarinagar,K.L.R.THIMMANANJAIAH,Janata Dal  (Secular),52251
Rajarajeshwarinagar,M.SRINIVAS,Bharatiya Janata Party,50726
Rajarajeshwarinagar,K.R.VENKATESH GOWDA,Karnataka Jantha Paksha,5419
Rajarajeshwarinagar,DR. PRIYADHARSHINI  IYER. S.V,Janata Dal  (United),1885
Rajarajeshwarinagar,GURUMURTHY,Bahujan Samaj Party,994
Rajarajeshwarinagar,PRANESH.H.K,Independent,992
Rajarajeshwarinagar,MANJUNATHA.M,Independent,928
Rajarajeshwarinagar,SRINIVASA MURTHY,Independent,787
Rajarajeshwarinagar,MANJU.V.K,Independent,781
Rajarajeshwarinagar,DR.SANGAMNATH.C.NIDGUNDI,Badavara Shramikara Raitara Congress Party,719
Rajarajeshwarinagar,V.NARAYANA,Independent,583
Rajarajeshwarinagar,ARUN KUMAR.T.R,Bharatiya Dr. B.R.Ambedkar Janta Party,580
Rajarajeshwarinagar,NAGARAJAPPA.H,Independent,538
Rajarajeshwarinagar,MARTIN CLIFFORD RODRIGUES,Independent,400
Rajarajeshwarinagar,INR GOWDA NANDISH,Independent,296
Rajarajeshwarinagar,K.A.MOHAN,Kamarajar Deseeya Congress,294
Rajarajeshwarinagar,SADASHIVA.A.H,Bharatiya Janta Dal,270
Rajarajeshwarinagar,NARSINGH PATEL,Republican Party of India (A),260
Rajarajeshwarinagar,P.THENNARASU,People's Party of India(secular),231
Ramanagaram,H D KUMARA SWAMY,Janata Dal  (Secular),83447
Ramanagaram,MARIDEVARU,Indian National Congress,58049
Ramanagaram,SHIVAMADHU,Bharatiya Janata Party,1776
Ramanagaram,FAIROZ ALI KHAN,SOCIAL DEMOCRATIC PARTY OF INDIA,1368
Ramanagaram,G P SHANKAREGOWDA,Independent,1140
Ramanagaram,RAVIKUMAR,Independent,1067
Ramanagaram,S R NAGARAJU,Karnataka Jantha Paksha,468
Ramanagaram,MARIDEVARU,Independent,430
Ramanagaram,S. JAYARAM,Bharatiya Dr. B.R.Ambedkar Janta Party,302
Ramanagaram,M.P.MUNAVAR  SHARIF,Independent,227
Ramanagaram,PUTTASWAMACHARI,Independent,217
Ramanagaram,H S THEERTHA PRASAD,Badavara Shramikara Raitara Congress Party,214
Ramdurg,ASHOK MAHADEVAPPA PATTAN,Indian National Congress,42310
Ramdurg,MAHADEVAPPA SHIVALINGAPPA YADAWAD,Bharatiya Janata Party,37326
Ramdurg,PARAPPAGOUDA FAKEERAGOUD PATIL,Janata Dal  (Secular),17303
Ramdurg,SANGAYYA CHANDRAYYA PANCHAKATIMATH,Karnataka Jantha Paksha,16043
Ramdurg,ARAVIND MAHADEVARAO DALAWAI,Janata Dal  (United),10314
Ramdurg,SIDDAPPA MARITAMMAPPA ANGADI,Independent,2053
Ramdurg,BHARAT PARAGOUDA PATIL,Nationalist Congress Party,904
Ramdurg,RAMESH HANAMANTAPPA HALLI,Badavara Shramikara Raitara Congress Party,895
Ramdurg,VINAY DATTATREY JOSHI,Independent,721
Ramdurg,PANDURANG DEVAPPA NAYAK,Bahujan Samaj Party,652
Ramdurg,SHRIKANT YAMANAPPA ADAPATTI,Independent,611
Ranibennur,KOLIWAD K.B,Indian National Congress,53780
Ranibennur,R.SHANKAR,Independent,46992
Ranibennur,SHIVANNA G,Karnataka Jantha Paksha,26570
Ranibennur,MANJUNATH GOWDASHIVANNANAVAR,Janata Dal  (Secular),14146
Ranibennur,ARUNKUMAR PUJAR,Bharatiya Janata Party,9476
Ranibennur,HANUMANTAPPA.D.KABBAR,Independent,2975
Ranibennur,BASAPPA PUTTAPPA BANAKAR,Independent,1053
Ranibennur,GURULINGAPPAGOWDRA UMESH MAHADEVAPPA,Bahujan Samaj Party,944
Ranibennur,KOTRESHAPPA KORI,Badavara Shramikara Raitara Congress Party,856
Ranibennur,A. PRAKASH JAIN,Independent,845
Ranibennur,GANGADHAR HADIMANI,Independent,401
Ranibennur,B.A.SUNIL DEVARAGUDDA,Janata Dal  (United),400
Ranibennur,B.M.JAYADEVA,Independent,377
Ranibennur,RUDRESH RAMANNA HADAGALI,Samajwadi Party,352
Raybag,AIHOLE DURYODHAN MAHALINGAPPA,Bharatiya Janata Party,37535
Raybag,PRADEEP RAMU MALAGI,Independent,36706
Raybag,KIRANAGI  SUKUMAR PUNDALIK,Indian National Congress,30043
Raybag,BABU SHANKAR BAGEWADI,Janata Dal  (Secular),7338
Raybag,BALASAB SHAMRAO WADDAR,Karnataka Jantha Paksha,3983
Raybag,PRABHAKAR HANAMANT GAGGARI,Independent,2040
Raybag,MAYUR SHRAVAN MADALE,Bahujan Samaj Party,1275
Raybag,PRAKASH MARUTI WADDAR @ PAWAR,Independent,697
Raybag,PARIS SHANKAR SINGE,Badavara Shramikara Raitara Congress Party,604
Raybag,CHANNAPPA JINNAPPA BHIMANNAVAR,Independent,543
Raybag,GAJENDRA ANNAPPA HONOLE,Independent,469
Raybag,KEMPANNA GIRIMALL VITHEKAR,Lok Jan Shakti Party,310
Raybag,MURAGOD  DUNDAPPA DURGAPPA,Janata Dal  (United),299
Raybag,RAJU BHIMARAO KANAGALE,Nationalist Congress Party,264
Ron,GURUPADAGOUDA  SANGANAGOUDA  PATIL,Indian National Congress,74593
Ron,KALAKAPPA GURUSHANTHAPPA BANDI,Bharatiya Janata Party,56366
Ron,HEMAGIRISH  GURUPADAPPA HAVINAL,Janata Dal  (Secular),6334
Ron,RANGANGOUDA  VASUDEVAGOUDA  PATIL,Independent,1976
Ron,ASHOK V BAVENAKATTI,Badavara Shramikara Raitara Congress Party,1636
Ron,MALLIKARJUNGOUDA  B  SANKANAGOUDRA,Independent,1472
Ron,SHARNAPPA BASAPPA MENASHINKAI,Karnataka Jantha Paksha,1372
Ron,NIGABASAPPA  RAMAPPA  DODDAMANI,Bahujan Samaj Party,1210
Ron,MALLIKARJUN  KALLAPPA  BUDIHAL,Independent,376
Ron,MALAJI  MOTILALASA  VASUSA,Shubha Karnataka,282
Ron,TEGGINAMANI  FAKIRAPPA NEELAPPA,Lok Jan Shakti Party,151
Ron,BASAVARAJA   VEERAPPA  DOTIHAL,National People's Party,137
Sagar,KAGODU THIMMAPPA,Indian National Congress,71960
Sagar,B.R. JAYANTH,Karnataka Jantha Paksha,30712
Sagar,GOPALAKRISHNA BELURU,Janata Dal  (Secular),23217
Sagar,SHARAVATHI C. RAO,Bharatiya Janata Party,5355
Sagar,T.R. KRISHNAPPA,Lok Satta Party,2302
Sagar,SURESHA. C.,Independent,1385
Sagar,S. RAMACHANDRA,Independent,597
Sagar,K.N. VENKATESHA,Bahujan Samaj Party,549
Sagar,MEGHARAJA. N. PUJARI,Independent,532
Sagar,GANESH. B. BELLI,Badavara Shramikara Raitara Congress Party,420
Sagar,DINESH BARADAVALLI,Janata Dal  (United),378
Sakleshpur,KUMARASWAMY H.K.,Janata Dal  (Secular),63602
Sakleshpur,D. MALLESH,Indian National Congress,30533
Sakleshpur,UMESH BELAGODU,Karnataka Jantha Paksha,28117
Sakleshpur,DR. H.R. NARAYANASWAMY,Bharatiya Janata Party,7336
Sakleshpur,KUMARGOURAV HETHUR,Bahujan Samaj Party,4424
Sakleshpur,SANJAY BABU V.,Independent,2069
Sakleshpur,PUTTAIAH,Hindusthan Nirman Dal,1309
Sakleshpur,VALALAHALLI VEERESHA,Independent,1032
Sakleshpur,R. DEVARAJU,Independent,815
Sakleshpur,VENKATESH,Janata Dal  (United),669
Sakleshpur,GANGADHARA PRASAD,Independent,580
Sandur,E.TUKARAM,Indian National Congress,62246
Sandur,DHANANJAYA.R,Janata Dal  (Secular),27615
Sandur,CHINNABASAPPA.G,Badavara Shramikara Raitara Congress Party,23359
Sandur,B.RAVIPRAKASH,Karnataka Jantha Paksha,4355
Sandur,MARENNA.E.,Bharatiya Janata Party,3314
Sandur,HANUMANTAPPA,Communist Party of India,2699
Sandur,P.PANDURANGAIAH,Independent,1935
Sandur,SHIVARAMA BHIMAPPA,Independent,1911
Sandur,G.VEERANAGOUDA,Independent,950
Sarvagnanagar,KELACHANDRA JOSEPH GEORGE,Indian National Congress,69673
Sarvagnanagar,PADMANABHA REDDY,Bharatiya Janata Party,46819
Sarvagnanagar,MAHBOOB SHARIFF,SOCIAL DEMOCRATIC PARTY OF INDIA,11196
Sarvagnanagar,SYED MOHID ALTAF,Janata Dal  (Secular),7711
Sarvagnanagar,MICHAEL B. FERNANDES,Karnataka Jantha Paksha,2185
Sarvagnanagar,MODI SAIFULLA,Independent,606
Sarvagnanagar,PHILIP MARIAN. L,Independent,457
Sarvagnanagar,RAHATH BEE,Nationalist Congress Party,377
Sarvagnanagar,IMRAN SHA,Rani Chennamma Party,350
Sarvagnanagar,DR.MEER LAYAQ HUSSAIN,Independent,292
Sarvagnanagar,REETA. A,Janata Dal  (United),281
Sarvagnanagar,YESU GERARD. P,National People's Party,277
Sarvagnanagar,S.M.SHAKIR,Welfare Party Of India,225
Sarvagnanagar,C.KRISHNA MURTHY,Ambedkar National Congress,223
Saundatti yellamma,ANAND ALIAS VISHWANATH CHANDRASHEKHAR MAMANI,Bharatiya Janata Party,46434
Saundatti yellamma,RAVINDRA BHUPALAPPA YALIGAR,Indian National Congress,30392
Saundatti yellamma,ANANDKUMAR SANTOSHCHAND CHOPRA,Independent,29851
Saundatti yellamma,VISHWANATH KARABASAPPA MAMANI,Karnataka Jantha Paksha,18391
Saundatti yellamma,D. B. NAIK,Janata Dal  (Secular),2630
Saundatti yellamma,MELAGIRI MALLIKARJUNA CHANNAPPA,Independent,1990
Saundatti yellamma,ANGADI MAHESH GURAPPA,Nationalist Congress Party,1036
Saundatti yellamma,DESAIGOUDA RUDRAGOUDA PATIL,Janata Dal  (United),969
Saundatti yellamma,HANAMANTAPPA VIRUPAXAPPA KALLUR,Badavara Shramikara Raitara Congress Party,897
Saundatti yellamma,BASAVARAJ SANGAPPA MUDENAGUDI,Bahujan Samaj Party,555
Sedam,DR SHARANPRAKASH PATIL,Indian National Congress,53546
Sedam,RAJKUMAR,Bharatiya Janata Party,41651
Sedam,MUKRAM KHAN,Janata Dal  (Secular),27047
Sedam,VAIJNATH PATIL,Karnataka Jantha Paksha,6148
Sedam,VENKATESH,Independent,2034
Sedam,SHIVSHARNAPPA SHIVAPPA,Bahujan Samaj Party,1589
Sedam,MOHAMMED ALI,Independent,1141
Sedam,MUKUNDREDDY,Independent,748
Sedam,JAGANNATH REDDY,Independent,535
Sedam,SHANKAR BANDI,Janata Dal  (United),420
Sedam,KANNAYA,Badavara Shramikara Raitara Congress Party,412
Sedam,AMRUTAPPA,Samajwadi Party,353
Sedam,GUNDAPPA RACHANNA,Independent,352
Shahapur,GURU PATIL SHIRAVAL,Karnataka Jantha Paksha,54924
Shahapur,SHARANABASAPPAGOUDA DARSHANPUR,Indian National Congress,49128
Shahapur,SHARANAPPA SALADAPUR,Janata Dal  (Secular),12159
Shahapur,AMARANNA,Independent,2225
Shahapur,BHIMAPPA,Independent,2128
Shahapur,SHANKARANNA G.VANIKYAL,Badavara Shramikara Raitara Congress Party,1796
Shahapur,VEERANNAGOUDA,Bharatiya Janata Party,1484
Shahapur,MOHAMMED ANVAR PASHA,Bahujan Samaj Party,1138
Shahapur,APPASAHEB GOUDA,Independent,1070
Shahapur,BASAVARAJ PADUKOTE,Independent,1066
Shanti Nagar,N.A.HARIS,Indian National Congress,54342
Shanti Nagar,K. VASUDEVA MURTHY,Janata Dal  (Secular),34155
Shanti Nagar,D. VENKATESHMURTHY,Bharatiya Janata Party,10930
Shanti Nagar,R.V. RAMESH YADAV,Karnataka Jantha Paksha,911
Shanti Nagar,PRABHU BOSCO,National People's Party,873
Shanti Nagar,SYED ASLAM,Independent,652
Shanti Nagar,N. SHASHIDHAR,Bahujan Samaj Party,388
Shanti Nagar,ANTHONY A. SANTHOSH,Independent,322
Shanti Nagar,BHANU PRAKASH .K,Independent,195
Shanti Nagar,M. RUBEN BENJAMIN,Independent,187
Shanti Nagar,K. RAJENDRA,Independent,160
Shanti Nagar,S. SURESH BABU,Independent,141
Shanti Nagar,HARINATH V.E,Janata Dal  (United),137
Shanti Nagar,A.S. RAJAN,Independent,131
Shanti Nagar,PURUSOTHAMAN D.R.,Independent,86
Shiggaon,BASAVARAJ BOMMAI,Bharatiya Janata Party,73007
Shiggaon,KHADRI SAYED AZIMPEER SAYED KADERBASHA,Indian National Congress,63504
Shiggaon,BAPUGOUDRA KASHINATHGOUDRA PATIL,Karnataka Jantha Paksha,7810
Shiggaon,SUMANGALA KADAPPA MYSORE,Janata Dal  (Secular),1531
Shiggaon,NANDAN BABURAO TAMBE,Nationalist Congress Party,1305
Shiggaon,MADAN GANGAPPA HITTANAGI,Independent,802
Shiggaon,ONKAR KRISHNAJI RAGHAVENDRA,Bahujan Samaj Party,660
Shiggaon,KUNNUR SURESH BASAVANNEPPA,Independent,468
Shiggaon,NAGANGOUDA DANAPPAGOUDA MARIGOUDDRA,Rani Chennamma Party,448
Shiggaon,AGADI PUTTAPPA ARJAPPA,Independent,314
Shiggaon,ASHOK BASAPPA MYSORE,Janata Dal  (United),253
Shikaripura,B.S.YADIYURAPPA,Karnataka Jantha Paksha,69126
Shikaripura,H.S.SHANTHAVEERAPPAGOWDA(SHANTANNA),Indian National Congress,44701
Shikaripura,BALEGAR.H,Janata Dal  (Secular),15007
Shikaripura,S.H.MANJUNATHA,Bharatiya Janata Party,2383
Shikaripura,RAJUNAIKA,Independent,1447
Shikaripura,ESHWARAPPA. D.S.,Independent,1288
Shikaripura,KOTESHWARA,Independent,1157
Shikaripura,ERYANAIKA,Independent,1132
Shikaripura,SAIFULLA.G,Independent,936
Shikaripura,J.PAKKIRAPPA,Badavara Shramikara Raitara Congress Party,608
Shikaripura,GIRISH.S,Independent,433
Shikaripura,HUVADIGARA SHEKARAPPA HITTALA,Bahujan Samaj Party,348
Shimoga,K.B. PRASANNAKUMAR,Indian National Congress,39355
Shimoga,S. RUDREGOWDA,Karnataka Jantha Paksha,39077
Shimoga,K.S. ESHWARAPPA,Bharatiya Janata Party,33462
Shimoga,M. SRIKANTH,Janata Dal  (Secular),21638
Shimoga,K.B. BASHEER AHMED,SOCIAL DEMOCRATIC PARTY OF INDIA,3312
Shimoga,USHA JAYARAJ,Independent,562
Shimoga,SYED SHAMEER,Independent,432
Shimoga,MOHAMMAD FAZEEL,Independent,388
Shimoga,B.R. KARIBASAPPA,Lok Jan Shakti Party,330
Shimoga,A. YASEEN MUBARAK,Independent,283
Shimoga,MANJUNATH PATEL TYAJAVALLI,Janata Dal  (United),250
Shimoga,GA.RA.SHRINIVAS,Independent,247
Shimoga,SYED MAJAHAR,Independent,164
Shimoga,MAHAMAD FAYAZ AHAMAD,Independent,148
Shimoga Rural,SHARADA POORYANAIK,Janata Dal  (Secular),48639
Shimoga Rural,G.BASAVANNAPPA,Karnataka Jantha Paksha,38530
Shimoga Rural,KARIYANNA,Indian National Congress,35640
Shimoga Rural,K.G.KUMARA SWAMY,Bharatiya Janata Party,12435
Shimoga Rural,SHIVARUDRAIAH SWAMY,Independent,1874
Shimoga Rural,V.BHAGAVAN,Independent,1499
Shimoga Rural,L.CHANDRA NAIK,Janata Dal  (United),1034
Shimoga Rural,N.T.SHIVAMURTHY,Independent,1005
Shimoga Rural,M.GURUMURTHY,Independent,770
Shimoga Rural,VEERESHAPPA,Bahujan Samaj Party,687
Shimoga Rural,T.SHIVAKUMARA,Badavara Shramikara Raitara Congress Party,619
Shimoga Rural,RUDRESH,Independent,556
Shirahatti,DODDAMANI RAMAKRISHNA SHIDLINGAPPA,Indian National Congress,44738
Shirahatti,RAMAPPA SOBEPPA LAMANI,Bharatiya Janata Party,44423
Shirahatti,JAYASHREE MAHANTESH HALLEPPANAVAR,Badavara Shramikara Raitara Congress Party,26791
Shirahatti,GURAPPA SHIDDAPPA VADDAR,Janata Dal  (Secular),5520
Shirahatti,SHOBHA KRISHNAPPA LAMANI,Karnataka Jantha Paksha,3841
Shirahatti,SANDAKAD DODDAHUCHAPPA DODDAYALLAPPA,Independent,1947
Shirahatti,BENAKAPPA BAJANEPPA PUJAR,Janata Dal  (United),791
Shirahatti,BHAJEKKANAVAR FAKKIRAPPA DANDAPPA,Independent,775
Shirahatti,SHEKAPPA BOJAPPA LAMANI,Independent,710
Shirahatti,KORADAL SHIVAPPA FAKKIRAPPA,Independent,580
Shirahatti,DURAGAPPA SAREPPA PUJAR,Bahujan Samaj Party,560
Shirahatti,PARASHURAM PUTTAPPA BAJANTRI,Independent,551
Shivajinagar,R.ROSHAN BAIG,Indian National Congress,49649
Shivajinagar,NIRMAL SURANA,Bharatiya Janata Party,28794
Shivajinagar,ABBAS ALI BOHRA,Janata Dal  (Secular),5983
Shivajinagar,I.R.PERUMAL,Karnataka Jantha Paksha,2869
Shivajinagar,SHAIK BAHADUR,Bahujan Samaj Party,581
Shivajinagar,SHANAWAZ AHMED,Independent,517
Shivajinagar,M.VISHWANATH,Independent,416
Shivajinagar,DYANIYAL SANNI,Independent,265
Shivajinagar,MUKTHAR ALI KHAN,Independent,260
Shivajinagar,M.MAHADEVA,Independent,259
Shivajinagar,DR. ASHOK KUMAR XAVIER,Badavara Shramikara Raitara Congress Party,240
Shivajinagar,RIZWAN ASAD,Janata Dal  (United),177
Shivajinagar,SYED SALEEM,Samajwadi Janata Party(Karnataka),172
Shivajinagar,AMEEN ULLA KHAN,Independent,149
Shivajinagar,K.NARASIMHAN,Independent,134
Shivajinagar,PRASHANTH.V,Independent,127
Shivajinagar,S.K.SUHAIL,National People's Party,119
Shivajinagar,G.R.BALAJI,Independent,114
Shivajinagar,M.PRAKASH,Independent,70
Shorapur,RAJA VENKATAPPA NAYAK,Indian National Congress,65033
Shorapur,NARASIMHANAYAK (RAJUGOUDA),Janata Dal  (Secular),60958
Shorapur,SHIVARAJ MALLESHI,Karnataka Jantha Paksha,8239
Shorapur,RAMANAGOUDA BHIMARAYAGOUDA,Independent,3250
Shorapur,MADANGOPAL NAYAK,Bharatiya Janata Party,3249
Shorapur,NANDKUMAR MALIPATIL,Badavara Shramikara Raitara Congress Party,2005
Shorapur,PRABHULINGA SIDDAPUR J,Independent,993
Shorapur,BASAVARAJ,Independent,985
Shorapur,RAMALINGAPPA (RAMUNAYAK),Janata Dal  (United),771
Shorapur,CHANDRASHEKHAR NAYAK,Independent,724
Shravanabelagola,C.N.BALAKRISHNA,Janata Dal  (Secular),87185
Shravanabelagola,C.S.PUTTEGOWDA,Indian National Congress,63043
Shravanabelagola,MANJUNATH.C.N.(PATEL),Bharatiya Janata Party,1981
Shravanabelagola,M.RAMAIAH,Independent,787
Shravanabelagola,RANGASWAMY. M.R. MATHIGATTA.,Bahujan Samaj Party,652
Shravanabelagola,K. KALENAHALLY KOVI BABANNA,Independent,632
Shravanabelagola,ARJUN KUMAR .G.B.,Independent,626
Shravanabelagola,ARALAPURA MANJEGOWDA  A.N.,Karnataka Rajya Ryota Sangha,422
Shravanabelagola,DINESH.P.SHRAVANABELAGOLA,Akhila Bharatiya Rytha Party,181
Shravanabelagola,A.S.PREMADHARMAIAH.,Badavara Shramikara Raitara Congress Party,155
Shravanabelagola,B. MOHAN KUMAR,National People's Party,150
Shrirangapattana,A.B. RAMESHA BANDISIDDEGOWDA,Janata Dal  (Secular),55204
Shrirangapattana,RAVINDRA SRIKANTAIAH,Independent,41580
Shrirangapattana,S.L.LINGARAJU,Indian National Congress,27197
Shrirangapattana,K.S.NANJUNDEGOWDA,Sarvodaya Karnataka Paksha,24075
Shrirangapattana,T.SRIDHARA,Bharatiya Janata Party,2427
Shrirangapattana,M.SURESHA,Independent,1605
Shrirangapattana,SHAMBHULINGEGOWDA (GANDHIVAADI),Independent,1604
Shrirangapattana,RATHNAMMA BASAVAIAH,Bahujan Samaj Party,1433
Shrirangapattana,GANJAM SHIVU,Badavara Shramikara Raitara Congress Party,1014
Shrirangapattana,K.N. MANJUNATHA,Independent,706
Shrirangapattana,M.SHIVALINGEGOWDA,Samajwadi Janata Party(Karnataka),519
Shrirangapattana,K.UDAYAKUMAR,Independent,443
Sidlaghatta,M. RAJANNA,Janata Dal  (Secular),77931
Sidlaghatta,V. MUNIYAPPA,Indian National Congress,62452
Sidlaghatta,D.R.SHIVAKUMAR GOWDA,Karnataka Jantha Paksha,5838
Sidlaghatta,RAJANNA.G.A,Independent,2097
Sidlaghatta,J.V. SADASHIVA,Bharatiya Janata Party,1914
Sidlaghatta,V.MUNIYAPPA,Independent,927
Sidlaghatta,DHANARAJA(MADIGA),Bahujan Samaj Party,890
Sidlaghatta,T.M NARAYANASWAMY(JUICE),Badavara Shramikara Raitara Congress Party,507
Sidlaghatta,K.KEMPAMMA,Independent,468
Sidlaghatta,GOVINDAPPA,Independent,385
Sidlaghatta,P.SADIQ PASHA,Janata Dal  (United),331
Sindgi,BHUSANUR RAMESH BALAPPA,Bharatiya Janata Party,37834
Sindgi,MANAGULI MALLAPPA CHANNAVEERAPPA,Janata Dal  (Secular),37082
Sindgi,SUNAGAR SHARANAPPA TIPPANNA,Indian National Congress,27595
Sindgi,PATIL GURANNAGOUDA GOUDAPPAGOUDA,Karnataka Jantha Paksha,10523
Sindgi,RAFIQ   KANE,Independent,6938
Sindgi,SIDDARAMAPPA RUDRAPPA RANJUNAGI,Independent,1540
Sindgi,MAHANTESH  BHIMANNA   NAIKODI,Independent,1308
Sindgi,DEVAPPAGOUD GURALINGAPPAGOUD   PATIL (CHANDAKAVATE),Janata Dal  (United),1199
Sindgi,DR.DASTAGIR,Bahujan Samaj Party,1115
Sindgi,SIDDANNA SHARANAPPA   ISHWARAPPAGOL,Nationalist Congress Party,983
Sindgi,VISHWAKARMA IRANNA MADIWALAPPA,Independent,677
Sindgi,RAJU   TALIKOTI,Badavara Shramikara Raitara Congress Party,530
Sindgi,CHINCHOLI SHIVAPPA CHANABASAPPA,Independent,472
Sindgi,ASHOK VEERABADRAPPA  GHOLLI,Independent,298
Sindgi,HARANAL SANTOSH SHIVAPPA,Samajwadi Party,261
Sindhanur,BADARLI HAMPANAGOUDA,Indian National Congress,49213
Sindhanur,K.KARIYAPPA,Badavara Shramikara Raitara Congress Party,36197
Sindhanur,VENKATA RAO NADAGOUDA,Janata Dal  (Secular),30895
Sindhanur,RAJASHEKHAR PATIL,Karnataka Jantha Paksha,11692
Sindhanur,KOLLA SHESHAGIRIRAO,Bharatiya Janata Party,10557
Sindhanur,RAMANNA ELEKUDALAGI,Independent,1176
Sindhanur,COM|| BASHUMIYA,Communist Party of India,997
Sindhanur,A.RAMESH PATIL BERGI,Communist Party of India (Marxist-Leninist) Red Star,868
Sindhanur,SYED SABIR NANA,Karnataka Makkala Paksha,667
Sindhanur,BASANAGOUDA,Independent,657
Sindhanur,JAGIRDAR SHANTHAGOUDA,Janata Dal  (United),651
Sindhanur,BASAVARAJ BADARLI,Independent,639
Sindhanur,GOUDAPPA,Independent,526
Sindhanur,M.K.JAGGESH,Bahujan Samaj Party,473
Sira,T B JAYACHANDRA,Indian National Congress,74089
Sira,B.SATHYANARAYANA,Janata Dal  (Secular),59408
Sira,B K MANJUNATHA,Bharatiya Janata Party,18884
Sira,SHASHI KUMAR.R,Independent,1642
Sira,INTHIYAZ AHAMED,Karnataka Jantha Paksha,1415
Sira,N RAJANNA,Bahujan Samaj Party,1090
Sira,K.MUDALAGIRIYAPPA,Badavara Shramikara Raitara Congress Party,766
Sira,B.A.MANJUNATHA,Independent,471
Sira,ERANNA.D.M,Independent,395
Sira,B.K.JAYACHANDRA,Independent,354
Sira,R.JAYARAMAIAH,Janata Dal  (United),340
Sira,SRINIVASA (SEENAPPA),Lok Jan Shakti Party,330
Sira,MARUTHI,Independent,261
Sirsi,ANANT KAGERI VISHWESHWAR HEGDE,Bharatiya Janata Party,42854
Sirsi,AYYAPPANAGAR DEEPAK HONNAVAR,Indian National Congress,39795
Sirsi,SHASHIBHUSHAN HEGDE,Janata Dal  (Secular),39761
Sirsi,HUVINAMANE RAVI HEGDE,Karnataka Jantha Paksha,3304
Sirsi,ANNAPPA AKASH S. MADIVAL,Independent,2246
Sirsi,SUDHAKAR KIRA JOGLEKAR,Bahujan Samaj Party,1374
Sirsi,NAGARAJ VENKATRAMAN HEGDE,Badavara Shramikara Raitara Congress Party,1061
Sirsi,KANADE SANTOSH GOPAL,Janata Dal  (United),796
Siruguppa,B.M. NAGARAJA,Indian National Congress,65490
Siruguppa,M.S. SOMALINGAPPA,Bharatiya Janata Party,43676
Siruguppa,H.M. MALLIKARJUN,Badavara Shramikara Raitara Congress Party,7272
Siruguppa,B. ERANNA,Janata Dal  (Secular),3183
Siruguppa,K. NARASIMHA NAYAKA,Karnataka Jantha Paksha,2254
Siruguppa,B.S. MALLIKARJUN NAYAKA,Independent,1638
Siruguppa,NARI MAREPPA,Bahujan Samaj Party,1574
Siruguppa,N. KALINGAPPA,Lok Satta Party,1045
Siruguppa,DESAI JADEPPA,Karnataka Rajya Ryota Sangha,645
Sorab,S.MADHU BANGARAPPA,Janata Dal  (Secular),58541
Sorab,H.HALAPPA,Karnataka Jantha Paksha,37316
Sorab,S.KUMARA  BANGARAPPA,Indian National Congress,33176
Sorab,CHIKKAVALI  NAGARAJAGOWDA,Bharatiya Janata Party,5226
Sorab,H.BHEEMAPPA,Independent,1514
Sorab,BASAVANYAPPA,Independent,1343
Sorab,K.GURUMURTHY,Independent,1081
Sorab,B.CHANDRAPPAGOWDA,Badavara Shramikara Raitara Congress Party,1026
Sorab,K.S.SATYANARAYANA,Janata Dal  (United),940
Sorab,GUDDAPPA,Bahujan Samaj Party,512
Sorab,J.S.CHIDANANDAGOWDA,Independent,484
Sringeri,D.N. JEEVARAJ,Bharatiya Janata Party,58402
Sringeri,T.D. RAJE GOWDA,Indian National Congress,54950
Sringeri,T.C. RAJENDRA,Janata Dal  (Secular),3941
Sringeri,K.V. MAHESH KUMAR,Independent,1018
Sringeri,UMESH,Communist Party of India (Marxist-Leninist) Red Star,505
Sringeri,K.C. PRAKASH,Independent,462
Sringeri,ABRAHAM,Independent,353
Sringeri,PURNESH G.R.,Badavara Shramikara Raitara Congress Party,326
Srinivaspur,K.R.RAMESHKUMAR,Indian National Congress,83426
Srinivaspur,G.K.VENKATASHIVAREDDY,Janata Dal  (Secular),79533
Srinivaspur,V.VENKATEGOWDA,Bharatiya Janata Party,2379
Srinivaspur,K.S.MALLIKARJUNA,Independent,1005
